,areas,beds,baths,listing_date,prices,title_len,des_len,school,airport,city,association,view,ใหม่
0,50.0,3.0,3.0,2021-10-19,2490000,197,1788,1,1,1,0,0,1
1,82.0,3.0,4.0,2021-10-18,23900000,86,666,0,0,0,0,0,0
2,40.0,3.0,2.0,2021-10-18,3990000,85,1594,1,0,0,1,0,0
3,100.0,4.0,3.0,2021-10-18,5500000,53,832,0,0,0,0,0,0
4,50.0,3.0,2.0,2021-10-18,4200000,59,306,0,0,0,0,0,0
5,73.0,4.0,4.0,2021-10-18,3200000,81,842,0,0,1,0,0,0
6,84.0,3.0,2.0,2021-10-17,4950000,98,2504,1,0,0,0,0,0
7,,4.0,4.0,2021-10-19,10500000,104,220,1,0,1,1,0,0
8,73.0,3.0,3.0,2021-10-17,3999000,19,320,0,0,0,0,1,0
9,,3.0,3.0,2021-10-16,5300000,64,865,1,0,0,1,0,0
10,,4.0,3.0,2021-10-15,5700000,140,1368,0,0,0,1,0,0
11,70.0,4.0,2.0,2021-10-15,11000000,120,1078,1,0,0,0,0,0
12,72.0,3.0,2.0,2021-10-15,2200000,70,671,0,1,0,0,0,0
13,,3.0,2.0,2021-10-14,4500000,60,1520,0,0,0,1,0,0
14,111.0,3.0,2.0,2021-10-14,2500000,37,1050,0,0,0,0,0,1
15,14.0,5.0,5.0,2021-10-14,8000000,58,737,0,0,0,1,0,0
16,81.0,5.0,3.0,2021-10-13,4600000,71,631,0,0,0,0,0,0
17,56.0,3.0,3.0,2021-10-13,2700000,75,1000,0,0,0,1,0,0
18,100.0,3.0,5.0,2021-10-12,5200000,54,918,0,0,0,0,0,0
19,13.0,4.0,4.0,2021-10-12,3290000,86,403,0,0,0,0,0,0
20,120.0,4.0,3.0,2021-10-13,35900000,151,1872,0,0,0,1,0,0
21,45.0,2.0,3.0,2021-10-12,3600000,64,1003,0,0,0,1,0,0
22,65.0,3.0,2.0,2021-10-12,3500000,64,1284,0,1,0,1,0,0
23,70.0,3.0,3.0,2021-10-11,9800000,102,434,0,0,0,0,0,0
24,57.0,3.0,2.0,2021-10-12,2650000,271,1555,1,0,1,1,0,1
25,54.0,4.0,3.0,2021-10-12,3690000,90,1767,1,0,0,1,0,0
26,,3.0,3.0,2021-10-11,3500000,52,1873,0,0,0,1,0,0
27,145.0,4.0,3.0,2021-10-11,13500000,56,1180,1,0,1,1,0,0
28,,5.0,7.0,2021-10-11,23749000,66,677,0,0,0,0,1,0
